Domain Name,Agency
kemenkeu.go.id,Ministry Of Finance Indonesia - Kemenkeu
imigrasi.go.id,Visit Visa - Imigrasi
data.go.id,Portal Satu Data Indonesia
bi.go.id,Bank Sentral Republik Indonesia
kemlu.go.id,Embassy of the Republic of Indonesia 
investindonesia.go.id,Invest Indonesia
rtsp.bmkg.go.id,Indonesia Tsunami Service Provider - InaTSP
mca-indonesia.go.id,Millennium Challenge Account - Indonesia: Home
evisa.kbri-newdelhi.go.id,Online Visa Application Form
kemendag.go.id,Ministry of Trade Republic of Indonesia 
aij.batan.go.id,Atom Indonesia
am2018bali.go.id,AM2018BALI 
indonesiaeximbank.go.id,Eximbank Indonesia
depkes.go.id,Kementerian Kesehatan Republik Indonesia
ejournal-balitbang.kkp.go.id,Indonesian Fisheries Research Journal - E-Journal KKP
magma.vsi.esdm.go.id,MAGMA Indonesia 
kbri-canberra.go.id,Indonesian Embassy in Canberra
eservice.insw.go.id,INTR | Indonesia National Trade Repository
ketentuan.pajak.go.id,support.pajak.go.id - Treaty - Peraturan
jcm.ekon.go.id,JCM Indonesia
ui.ac.id,Indonesia Universitas Indonesia
frp.ristekdikti.go.id,Procedures - Foreign Research Permit - Indonesia - Ristekdikti
eng.kppu.go.id,Indonesia – Australia Comprehensive Economic Partnership Agreement
sejarah-nusantara.anri.go.id,Sejarah Nusantara - Arsip Nasional Republik Indonesia
tanahair.indonesia.go.id,Indonesia Geospatial Portal
wwf.or.id,WWF Indonesia: Global environmental conservation organization
map.co.id,MAP Indonesia
fitnessfirst.co.id,Fitness First Indonesia Official Site: Premium Gym & Fitness Center
jac-recruitment.co.id,JAC Recruitment Indonesia
lionair.co.id,Lion air - We make people fly
ojk.go.id,Otoritas Jasa Keuangan
situs.opi.lipi.go.id,ISFAP 2018 - OPI LIPI
icdx.co.id,Indonesia Commodity & Derivatives Exchange (ICDX)
toto.co.id,TOTO Indonesia
robertwalters.co.id,Robert Walters Indonesia
starbucks.co.id,Starbucks: The Best Coffee Makers and Cold Brew Coffee
yachters.beacukai.go.id,YachTERS
isast.lapan.go.id,ISAST VI - 2018
eijkman.go.id,Eijkman Institute
mdpi.or.id,MDPI - Yayasan Masyarakat dan Perikanan Indonesia
siemens.com,Home - English - Indonesia
kemlu.go.id,The Ministry of Foreign Affairs
depkeu.go.id,The Ministry of Finance
kemenag.go.id,The Ministry of Religious Affairs
pertanian.go.id,The Ministry of Agriculture
kemdiknas.go.id,The Ministry of Education
depkes.go.id,The Ministry of Health
depsos.go.id,The Ministry of Social Services
dephub.go.id,The Ministry of Transportation
naker.go.id,The Ministry of Manpower
kemenperin.go.id,The Ministry of Industry
kemendag.go.id,The Ministry of Trade
