Domain Name ,Agency 
tourism.gov.my,Tourism Malaysia 
malaysia.gov.my,Malaysia Government
imi.gov.my,Malaysia Immigration
bnm.gov.my,Malaysia Central Bank
moh.gov.my,Malaysia Health Ministry
heritage.gov.my,Heritage
customs.gov.my,Royal Malaysian Customs
pemudah.gov.my,PEMUDAH
mida.gov.my,Malaysian Investment Development Authority
miti.gov.my,Ministry of International Trade & Industry
ssm.com.my,Companies Commision of Malaysia
treasury.gov.my,"Ministry of Finance, Malaysia"
hasil.gov.my,Inland Revenue Board
dosm.gov.my,Department of Statistics Malaysia 
parlimen.gov.my,The Parliament of Malaysia
jsm.gov.my,Standards Malaysia
pmo.gov.my,Prime Ministers Office of Malayasia
sarawak.gov.my,Sarawak Government
mpc.gov.my,MPC
mh370.gov.my,MH370
mima.gov.my,MIMA | Maritime Institute of Malaysia 
kln.gov.my,"Official Portal Ministry of Foreign Affairs, Malaysia "
st.gov.my,Energy Commission
kkmm.gov.my,Ministry Of Communications And Multimedia Malaysia
agc.gov.my,Malaysian Laws - Attorney General's Chamber Official Portal
legoland.com.my,Malaysia's 1st International Theme Park | LEGOLAND
kkr.gov.my,Ministry of Works | Towards The People's Prosperity
mda.gov.my,Medical Device Authority
dosh.gov.my,Website Department of Occupational Safety and Health Malaysia
perak.gov.my,The Perak Government
jmm.gov.my,Department of Museums Malaysia
mcmc.gov.my,Malaysian Communications And Multimedia Commission
myipo.gov.my,The Official Portal of Intellectual Property Corporation of Malaysia 
motac.gov.my,MoTAC 
doe.gov.my,Department of Environment
bqsm.gov.my,BQSM
mqa.gov.my,Malayan Qualificaions Register
mp.gov.my,Industrial Court of Malaysia
seda.gov.my,SEDA Malaysia
moha.gov.my,Ministry of Home Affairs
pharmacy.gov.my,Pharmaceutical Servicces Programme
lam.gov.my,Lembaga Arkitek Malaysia
itc.gov.my,Islamic Tourism Centre of Malaysia 
msonline.gov.my,Malaysian Standards
sprm.gov.my,MACC 
smecorp.gov.my,SME Corporation Malaysia
lppeh.gov.my,"Lembaga Penilai, Pentaksir & Ejen Harta Tanah Malaysia"
halal.gov.my,Halal Malaysian Portal
mpob.gov.my,Malaysian Palm Oil Board
imr.gov.my,"Institute for Medical Research, Malaysia"
mprc.gov.my,MPRC
penang.gov.my,Portal Rasmi Kerajaan Negeri Pulau Pinang
jpj.gov.my,JPJ Portal
lgm.go.my,LGM
mm2.gov.my,Ministry of  Foreign Affairs Malaysia
visitkl.gov.my,VisitKL 
frim.gov.my,FRIM 
dbkl.gov.my,Kuala Lumpur City Hall
ssa.gov.my,Social Security Administration 
searcct.gov.my,Official Website of Southeast Asia Regional Centre For Counter
bda.gov.my,Bintulu Development Authority
kpdnhep.gov.my,KPDNHEP: Laman Utama
mypenang.gov.my,myPenang
forest.sabah.gov.my,Sabah Forestry Department 
kwap.gov.my,Retirement Fund Incorporate
sarawaktimber.gov.my,Sarawak Timber Industry Development Corporation
audit.gov.my,National Audit Department
akademisains.gov.my,Academy of Sciences Malaysia
investkl.gov.my,InvestKL 
bless.gov.my,Bless
mestec.gov.my,"Kementerian Tenaga, Sains, Teknologi, Alam Sekitar dan Perubahan"
mohr.gov.my,MINISTRY of HUMAN RESOURCE
rmp.gov.my,PDRM 
pdc.gov.my,PDC 
wildlife.gov.my,Department of Wildfife and National Parks
sabahfm.rtm.gov.my,SABAHfm - RTM
perkeso.gov.my,Laman Utama
mohe.gov.my,KPT - Utama
muziumnegara.gov.my,Mazium Negara
spad.gov.my,Spad
kpkt.gov.my,Portal Rasmi Kementerian Perumahan dan Kerajaan Tempatan
mbpj.gov.my,MBPJ
rajangport.gov.my,Rajang Port Authority 
miros.gov.my,MIROS
artgallery.gov.my,Lembaga Pembangunan Seni Visual Negara – (LPSVN)
idfr.gov.my,IDFR
pnm.gov.my,Portal Rasmi Perpustakaan Negara Malaysia 
moa.gov.my,MOA: Portal Rasmi Kementerian Pertanian & Industri Asas Tani..
mpsp.gov.my,Laman Utama MPSP
ptptn.gov.my,PTPTN
smc.gov.my,Laman Web Rasmi Majilis Perbandaran Sibu
islam.gov.my,Jabatan Kemajuan Islam Malaysia
crc.gov.my,Clinical Research Centre
mpb.gov.my,Portal Rasmi Lembaga Lada Malaysia
span.gov.my,National Water Service Commission
aelb.gov.my,Laman Rasmi Lembaga Perlesenan Tenaga Atom
moe.gov.my,MOE
