Domain,Agency,URL,M-15-13 Compliant,Valid HTTPS,Defaults to HTTPS,HSTS,Free of RC4/3DES and SSLv2/SSLv3,﻿Any 3DES (sslyze)1,Any RC4 (sslyze)1,SSLv2 (sslyze)1,SSLv3 (sslyze)1
abra.gov.ph,Province of Abra,http://abra.gov.ph,0,1,0,0,1,0,0,0,0
acpc.gov.ph,Agricultural Credit Policy Council,http://www.acpc.gov.ph,0,0,0,0,,,,,
afab.gov.ph,Autority og Freeport Area of Bataan,http://afab.gov.ph,0,0,0,0,,,,,
agusandelsur.gov.ph,Agusan del Sur,http://agusandelsur.gov.ph,0,1,0,0,1,0,0,0,0
aklan.gov.ph,Aklan,http://aklan.gov.ph,0,0,0,0,,,,,
albay.gov.ph,Province of Albay,http://albay.gov.ph,0,0,0,0,,,,,
amlc.gov.ph,Anti-Money Laundering Counci,http://www.amlc.gov.ph,0,0,0,0,,,,,
angelescity.gov.ph,Angeles City Local Governmet Website,http://angelescity.gov.ph,0,1,0,0,1,0,0,0,0
antique.gov.ph,Pronvicial Government of Antique,http://antique.gov.ph,0,1,0,0,1,0,0,0,0
bacolodcity.gov.ph,Bacolod City Government Center,http://www.bacolodcity.gov.ph,0,0,0,0,,,,,
bacoor.gov.ph,Bacoor Government Center,http://bacoor.gov.ph,0,0,0,0,,,,,
baguio.gov.ph,City Government of Baguio,http://baguio.gov.ph,0,0,0,0,,,,,
balinkbayan.gov.ph,BaLinkBayan Overseas Filipi0s' One Stop Online Portal,https://balinkbayan.gov.ph,0,1,1,0,,,,,
basilan.gov.ph,Basilan Province,http://www.basilan.gov.ph,0,0,0,1,1,0,0,0,0
bataan.gov.ph,Provincial Government of Bataan,https://bataan.gov.ph,0,1,1,0,,,,,
batangas.gov.ph,Batangas,http://batangas.gov.ph,0,0,0,0,,,,,
bcda.gov.ph,Bases Conversion and Development Authority,https://bcda.gov.ph,0,1,1,0,0,1,0,0,0
benguet.gov.ph,Provnce of Benguet,http://benguet.gov.ph,0,1,0,0,0,1,1,0,0
bir.gov.ph,Bureau of Internal Revenue,https://www.bir.gov.ph,0,0,1,0,,,,,
blgf.go.ph,Bureau f Local Government Finance,http://blgf.go.ph,0,0,0,0,,,,,
bmb.gov.ph,Biodiversity Management Bureau,http://bmb.gov.ph,0,0,0,0,,,,,
bohol.gov.ph,Province of Bohol,http://bohol.gov.ph,0,1,0,0,0,1,0,0,0
boi.gov.ph,Philippine Board Of Investments,http://boi.gov.ph,0,0,0,0,,,,,
bsp.gov.ph,Bangko Sentral ng Pilipinas,http://www.bsp.gov.ph,0,0,0,0,,,,,
bspms.dost.gov.ph,Balik Scientist Program,http://bspms.dost.gov.ph,0,0,0,0,,,,,
build.gov.ph,Philippine Infrastructure Transparency Portal,http://build.gov.ph,0,0,0,0,,,,,
bukid0n.gov.ph,Provincial Government of Bukid0n,http://www.bukid0n.gov.ph,0,0,0,0,,,,,
bulacan.gov.ph,Bulacan,https://www.bulacan.gov.ph,0,1,1,0,,,,,
business.gov.ph,Philippine Business Registry,http://business.gov.ph,0,0,0,0,,,,,
butuan.gov.ph,Butuan,http://butuan.gov.ph,0,0,0,0,,,,,
