Domain Name,Agency
gov.sg,Singapore Government
data.gov.sg,Data SG
singpass.gov.sg,Singapore Government - SingPass
moh.gov.sg,Ministry of Health
careers.gov.sg,Careers@ Gov
mom.gov.sg,Ministry of Manpower
pmo.gov.sg,Prime Minister's Office Singapore
mfa.gov.sg,Ministry of Foreign Affairs SG
mof.gov.sg,Ministry of Finance SG
uen.gov.sg,UEN
moe.gov.sg,MOE
mha.gov.sg,Ministry of Home Affairs
singaporebudget.gov.ph,Singapore Budget 2019
form.gov.sg,FormSG
sla.gov.sg,SLA
customs.gov.sg,Singapore Customs
charities.gov.sg,Charity Portal
mti.gov.sg,Ministry of Trade & Industry
parliament.gov.sg,Parliament of Singapore
mas.gov.sg,Monetary Autrhority of Singapore (MAS)
hsa.gov.sg,Health Sciences Authority 
cpf.gov.sg,CPF
singstat.gov.sg,DOS
enterprisesg.gov.sg,Enterprise Singapore
mlaw.gov.sg,Moneylenders SG 
dnc.gov.sg,PDPC - Do Not Call Registry
gebiz.gv.sg,GeBIZ
ura.gov.sg,URA GLS
corppass.gov.sg,CorpPass
cpe.gov.sg,Committee for Private Education
eld.gov.sg,ELD
publicguardian.gov.sg,Public Guardian
ecda.gov.sg,ECDA
healthprofessionals.gov.sg,Singapore medical Council
sso.agc.gov.sg,Singapore Statutes Online
jobsbank.gov.sg,Adapt & Grow SG
nea.gov.sg,National Environment Agency
stb.gov.sg,Singapore Tourism Board
ava.gov.sg,Agri-Food & Veterinary Authority of Singapore (AVA)
reach.gov.sg,REACH
statecourts.gov.sg,State Courts
lta.gov.sg,Land Transport Authority 
businessgrants.gov.sg,Business Grants Portal
vital.gov.sg,VITAL
sportsingapore.gov.sg,Sport Singapore
vendors.gov.sg,Vendors
ica.gov.sg,ICA 
pub.gov.sg,PUBlic Guardian
bizfire.gov.sg,Bizfire
bca.gov.sg,Building & Construction Authority 
rom.gov.sg,Registry of Marriages
mindef.gov.sg,mindef Singapore
imda.gov.sg,IMDA
scdf.gov.sg,SCDF
pa.gov.sg,People's Association
nlb.gov.sg,National Library Board
arca.gov.sg,Accounting and Corporate Regulatory Authority
cpib.gov.sg,Corrupt Practices Investigation Bureau
mpa.gov.sg,Maritime and Port Authority of Singapore
sgs.gov.sg,Singapore Government Securities
iras.gov.sg,Singapore Tax System
familyjusticecourts.gov.sg,Family Justice Courts
mbs.gov.sg,MBS
nparks.gov.sg,Nparks
licence1.business.gov.sg,LicenceOne
sac.gov.sg,Singapore Accountancy Commission 
police.gov.sg,Singapore Police Force 
nhb.gov.sg,NHB Corp
edb.gov.sg,EDB
ssg-wsg.gov.sg,SSG/WSG
cea.gov.sg,CEA
csa.gov.sg,SingCert
caas.gov.sg,CAAS
babybonus.msf.gov.sg,Baby Bonus - Parent Portal Homepage
cnb.gov.sg,Central Narcoics Bureau
hpb.gov.sg,"Corporate website of the Health Promotion Board, Singapore"
csc.gov.sg,Civil Service College
asc.gov.sg,Accounting Standards Council Singapore
pac.gov.sg,Pac@Gov
hdb.gov.sg,HDB
supremecourt.gov.sg,Supreme Court 
psc.gov.sg,Public Service Commission of Singapore
sac-accreditation.gov.sg,Singapore Accreditation Council (SAC)
wsg.gov.sg,Career Matching Services - WSG's Careers Connect 
tradexchange.gov.sg,NTP
icms.statecourts.gov.sg,Integrated Criminal Case Filing And Management System
boa.gov.sg,Board of Architects Singapore
cra.gov.sg,Casino Regulatory Authority (CRA)
ncss.gov.sg,NCSS
mccy.gov.sg,MCCY
nrf.gov.sg,National Research Foundation Singapore
dsta.gov.sg,Defence Science & Technology Agency
cccs.gov.sg,CCCS
ago.gov.sg,Auditor-General Office of Singapore
mci.gov.sg,Ministry of Communications and Information: MCI
clc.gov.sg,Centre for Liveable Cities 
score.gov.sg,Singapore Corporation of Rehabilitative Enterprises
nac.gov.sg,National Arts Council: NAC
nrdo.gov.sg,National Registry Of Diseases Office
nccs.gov.sg,NCCS
sps.gov.sg,Sinapore Prison Service 
moneysense.gov.sg,MoneySense
istana.gov.sg,Istana
sicc.gov.sg,Singapore International Commercial Court
strategygroup.gov.sg,Strategy Group
mycareersfuture.sg,MyCareersFuture 
elise.ema.gov.sg,EMA Elise
one.ecda.gov.sg,One@Ecda
ipos.gov.sg,Intellectual Property Office of SG
nas.gov.sg,National Archives o Singapore
muis.gov.sg,Maritime and Port Authority of Singapore
gstvoucher.gov.sg,GST Voucher
ssg-wsg.gov.sg,WSG
cmpb.gov.sg,CMPB
ntp.gov.sg,NTP
haze.gov.sg,Haze - The National Environment Agency 
workfare.gov.sg,Workfare - Work & Train. More to Gain!
mewr.gov.sg,Ministry of the Environment and Water Resources
corenet-ess.gov.sg,CORENET e-Submission System
mot.gov.sg,"MOT Singapore - Gain new perspectives on land, sea & air transport"
peb.gov.sg,Professional Engineers Board Singapore
seab.gov.sg,SEAB
jtc.gov.sg,JTC Corporation
