Domain Name,Agency
kanchanapisek.or.th,The King of Thailand.
parliament.go.th,Parliament
senate.go.th,Senate
thaigov.go.th,Royal Thai Government
mof.go.th,Ministry of Finance - Thailand
audit.go.th,State Audit Office of the Kingdom of Thailand
mfa.go.th,Policy Statement of the Council of Ministers
prd.go.th,Public Relations Department
pmoffice.go.th,Office of the Prime Minister
royalthaipolice.go.th,Royal Thai Police Department
nso.go.th,National Statistical Office
nepo.go.th,National Energy Policy Office
krisdika.go.th,Office of the Council of State
nsc.go.th,Office of the National Security Council
boi.go.th,Office of the Board of Investment
oncb.go.th,Office of the Narcotics Control Board
onec.go.th,Office of the National Education Commission
nesdb.go.th,National Economic and Social Development Board
rdpb.go.th,Royal Development Projects Board (RDPB)
moac.go.th,Ministry of Agriculture and Co-operatives
inet.co.th,Thailand National Commission on Women's Affairs
doa.go.th,Department of Agriculture
doae.go.th,Department of Agricultural Extension
cpd.go.th,Cooperative Promotion Department
rahu.fisheries.go.th,Department of Fisheries
forest.go.th,Royal Forestry Department
rid.go.th,Royal Irrigation Department
ldd.go.th,Department of Land Development
moc.go.th,Ministry of Commerce
dit.go.th,Department of Internal Trade
mod.go.th,Ministry of Defence
rta.mi.th,Royal Thai Army
navy.mi.th,Royal Thai Navy
moe.go.th,Ministry of Education
nfe.go.th,Department of Non-Formal Education
opec.go.th,Office of the Private Education Commission
mof.go.th,Ministry of Finance
customs.go.th,Customs Department
exd.mof.go.th,Excise Department
rd.go.th,Revenue Department
bangkok.go.th,Bankok
sec.or.th,Securities and Exchange Commission
mfa.go.th,Ministry of Foreign Affairs
dancham.or.th/,Danish-Thai Chamber Of Commerce
tisi.go.th,Ministry of Industry
fda.moph.go.th,FDA Thailand
moi.go.th,Ministry of the Interior
moj.go.th,Ministry of Justice
molsw.go.th,Ministry of Labour and Social Welfare
doe.go.th,Department of Employment
dlpw.go.th,Department of Labour Protection and Welfare
moph.go.th,Ministry of Public Health
moste.go.th,"Ministry of Science, Technology and Environment"
deqp.go.th,Department of Environmental Quality Promotion
pcd.go.th,Pollution Control Department
dss.monte.go.th,Department of Science Service
oaep.go.th,Office of Atomic Energy for Peace
nsta.or.th,National Science and Technology Development Agency
biotec.or.th,National Center for Genetic Engineering and Biotechnology
mtec.or.th,National Metal and Materials Technology Center
nectec.o.th,National Electronics and Computer Technology Center
tiac.or.th,Technical Information Access Center
nrct.go.th,National Research Council of Thailand
nitc.go.th,National Information Technology Committee
motc.go.th,Ministry of Transport and Communications
ptd.go.th,Post and Telegraph Department
thaimet.tmd.go.th,Thai Meteorological Department
inter.mua.go.th,Ministry of University Affairs
bot.or.th,Bank of Thailand
ect.go.th,Election Commission of Thailand
tmd.go.th,Thai Meteorological Department
airfrance.co.th,Air France Thailand
un.or.th,UN Thailand
cbre.co.th,CBRE
wineconnection.co.th,Wine Cinnetion
dbd.go.th,DBD
thailandtourismdirectory.go.th,Thailand Tourism Directory
democrat.or.th,Democrat Party
railway.co.th,State Railway of Thailand
nap.or.th,New Aspiration Party
pdp.or.th,Phalang Dhama
mots.go.th, Minister of Tourism and Sports
jac-recruitment.co.th,JAC Recruitment Thailand: Job Search & Recruitment Services
dnp.go.th,"Department of National Parks, Wildlife and Plant Conservation"
savills.co.th,Savills Thailand
set.or.th,Stock Exchange of TH
robertwalters.co.th,Rovet Walters TH
en.nrct.go.th,NRCT
bltec.co.th,BITEC
bounceinc.co.th,Bounce TH
thaihouse.co.th,Thai House
eppo.go.th,EPPO
coins.co.th,Coins TH
securitas.co.th,Securitas Professional Security Solutions - Securitas
m-culture.go.th,Ministry of Culture
gulf.co.th,Gulf
mazars.co.th,Mazars TH
invadeit.co.th,InvadeIT
thaire.co.th,Thai Reinsurance Public Co. Ltd
pcscenter.sb.police.go.th,Police Clearance Service Cener Special Branch
cpn.co.th,Central Pattana Public Company Limited
exim.go.th,Exim Bank
mini.co.th,Mini TH
phuketimmigration.go.th,Phuket Immigration Office
dlt.go.th,Thai Driving Lic
nbtc.go.th,National Broadcasting and Telecomminications
weben.dede.go.th,Department of Alternative Energy Development and Efficiency
asean2019.go.th,Asean Thailand 2019
immigraion.go.th,Immigration TH
mol.go.th,Labour Law 
